season,ndcg_5,top1_hit,mvp_pred_rank,real_top10,pred_top10,top_10_features
2007,0.909090674253558,1,1,1. Dirk Nowitzki | 2. Steve Nash | 3. Kobe Bryant | 4. Tim Duncan | 5. LeBron James | 6. Tracy McGrady | 7. Chris Bosh | 8. Gilbert Arenas | 9. Carlos Boozer | 10. Kevin Garnett,1. Dirk Nowitzki | 2. LeBron James | 3. Tim Duncan | 4. Steve Nash | 5. Kobe Bryant | 6. Tracy McGrady | 7. Gilbert Arenas | 8. Carmelo Anthony | 9. Shawn Marion | 10. Carlos Boozer,vorp_zscore (6.38) | per_zscore (5.48) | bpm_zscore (5.01) | win_shares_zscore (4.87) | obpm_zscore (2.96) | pts_per_game_zscore (2.92) | inv_conference_rank (2.48) | fgm_per_game_zscore (2.40) | wins_zscore (2.29) | on_court_pm_per_100_zscore (2.15)
2008,0.7152653461355994,0,2,1. Kobe Bryant | 2. Chris Paul | 3. Kevin Garnett | 4. LeBron James | 5. Dwight Howard | 6. Amar'e Stoudemire | 7. Tim Duncan | 8. Tracy McGrady | 9. Steve Nash | 10. Manu Ginóbili,1. LeBron James | 2. Kobe Bryant | 3. Chris Paul | 4. Kevin Garnett | 5. Amar'e Stoudemire | 6. Tim Duncan | 7. Chauncey Billups | 8. Paul Pierce | 9. Manu Ginóbili | 10. Steve Nash,vorp_zscore (6.63) | bpm_zscore (5.92) | per_zscore (5.79) | win_shares_zscore (4.38) | pts_per_game_zscore (2.86) | fgm_per_game_zscore (2.53) | obpm_zscore (2.40) | inv_conference_rank (2.39) | reb_per_game_zscore (2.33) | fga_per_game_zscore (2.25)
2009,0.976145262427183,1,1,1. LeBron James | 2. Dwyane Wade | 3. Kobe Bryant | 4. Dwight Howard | 5. Chris Paul | 6. Chauncey Billups | 7. Paul Pierce | 8. Tony Parker | 9. Brandon Roy | 10. Tim Duncan,1. LeBron James | 2. Chris Paul | 3. Kobe Bryant | 4. Dwyane Wade | 5. Dwight Howard | 6. Brandon Roy | 7. Pau Gasol | 8. Dirk Nowitzki | 9. Tim Duncan | 10. Rajon Rondo,vorp_zscore (7.60) | per_zscore (5.19) | bpm_zscore (5.01) | win_shares_zscore (4.87) | pts_per_game_zscore (2.94) | nrtg_zscore (2.49) | fgm_per_game_zscore (2.32) | inv_conference_rank (2.32) | wins_zscore (2.28) | on_court_pm_per_100_zscore (2.22)
2010,0.9923660017477531,1,1,1. LeBron James | 2. Kevin Durant | 3. Kobe Bryant | 4. Dwight Howard | 5. Dwyane Wade | 6. Carmelo Anthony | 7. Dirk Nowitzki | 8. Steve Nash | 9. Deron Williams | 10. Amar'e Stoudemire,1. LeBron James | 2. Kevin Durant | 3. Dwyane Wade | 4. Kobe Bryant | 5. Dwight Howard | 6. Steve Nash | 7. Dirk Nowitzki | 8. Jason Kidd | 9. Carmelo Anthony | 10. Tim Duncan,vorp_zscore (6.60) | per_zscore (5.78) | win_shares_zscore (5.42) | bpm_zscore (4.93) | fgm_per_game_zscore (2.68) | on_court_pm_per_100_zscore (2.68) | pts_per_game_zscore (2.66) | win_shares_per_48_zscore (2.33) | inv_conference_rank (2.32) | nrtg_zscore (2.26)
2011,0.5762636338822185,0,3,1. Derrick Rose | 2. Dwight Howard | 3. LeBron James | 4. Kobe Bryant | 5. Kevin Durant | 6. Dirk Nowitzki | 7. Dwyane Wade | 8. Manu Ginóbili | 9. Amar'e Stoudemire | 10. Blake Griffin,1. LeBron James | 2. Dwyane Wade | 3. Derrick Rose | 4. Dwight Howard | 5. Kobe Bryant | 6. Kevin Durant | 7. Pau Gasol | 8. Chris Paul | 9. Dirk Nowitzki | 10. Manu Ginóbili,bpm_zscore (6.83) | vorp_zscore (6.75) | per_zscore (4.98) | win_shares_zscore (4.85) | pts_per_game_zscore (3.09) | inv_conference_rank (2.40) | on_court_pm_per_100_zscore (2.38) | win_shares_per_48_zscore (2.34) | margin_of_victory_zscore (2.34) | pts_gen_by_ast_per_game_zscore (2.26)
2012,0.9654825911618916,1,1,1. LeBron James | 2. Kevin Durant | 3. Chris Paul | 4. Tony Parker | 5. Kobe Bryant | 6. Kevin Love | 7. Dwight Howard | 8. Rajon Rondo | 9. Steve Nash | 10. Dwyane Wade,1. LeBron James | 2. Kevin Durant | 3. Chris Paul | 4. Dwyane Wade | 5. Dwight Howard | 6. Russell Westbrook | 7. Kobe Bryant | 8. Kevin Love | 9. James Harden | 10. Blake Griffin,vorp_zscore (7.07) | bpm_zscore (6.38) | per_zscore (5.41) | win_shares_zscore (4.88) | pts_per_game_zscore (2.76) | on_court_pm_per_100_zscore (2.54) | fgm_per_game_zscore (2.47) | wins_zscore (2.37) | fg2m_per_game_zscore (2.34) | obpm_zscore (2.30)
2013,0.9919010876801132,1,1,1. LeBron James | 2. Kevin Durant | 3. Carmelo Anthony | 4. Chris Paul | 5. Kobe Bryant | 6. Tony Parker | 7. Tim Duncan | 8. James Harden | 9. Russell Westbrook | 10. Dwyane Wade,1. LeBron James | 2. Kevin Durant | 3. Russell Westbrook | 4. Chris Paul | 5. Carmelo Anthony | 6. Kobe Bryant | 7. James Harden | 8. Dwyane Wade | 9. Tony Parker | 10. Stephen Curry,vorp_zscore (7.10) | per_zscore (5.60) | win_shares_zscore (4.37) | bpm_zscore (3.94) | win_shares_per_48_zscore (2.59) | fgm_per_game_zscore (2.53) | inv_conference_rank (2.53) | pts_per_game_zscore (2.53) | nrtg_zscore (2.44) | on_court_pm_per_100_zscore (2.43)
2014,0.9742560480146053,1,1,1. Kevin Durant | 2. LeBron James | 3. Blake Griffin | 4. Joakim Noah | 5. James Harden | 6. Stephen Curry | 7. Chris Paul | 8. Al Jefferson | 9. Paul George | 10. LaMarcus Aldridge,1. Kevin Durant | 2. LeBron James | 3. Stephen Curry | 4. Chris Paul | 5. James Harden | 6. Kevin Love | 7. Blake Griffin | 8. Paul George | 9. Carmelo Anthony | 10. Dirk Nowitzki,vorp_zscore (6.41) | per_zscore (6.09) | win_shares_zscore (4.67) | obpm_zscore (4.03) | bpm_zscore (3.81) | pts_per_game_zscore (2.66) | margin_of_victory_zscore (2.40) | fgm_per_game_zscore (2.40) | fga_per_game_zscore (2.37) | inv_conference_rank (2.33)
2015,0.9613763652881778,1,1,1. Stephen Curry | 2. James Harden | 3. LeBron James | 4. Russell Westbrook | 5. Anthony Davis | 6. Chris Paul | 7. LaMarcus Aldridge | 8. Blake Griffin | 9. Marc Gasol | 10. Tim Duncan,1. Stephen Curry | 2. James Harden | 3. Russell Westbrook | 4. Chris Paul | 5. Anthony Davis | 6. LeBron James | 7. Damian Lillard | 8. Klay Thompson | 9. LaMarcus Aldridge | 10. Blake Griffin,vorp_zscore (6.59) | per_zscore (5.28) | win_shares_zscore (4.98) | obpm_zscore (3.87) | bpm_zscore (3.62) | fga_per_game_zscore (2.72) | inv_conference_rank (2.60) | fgm_per_game_zscore (2.53) | pts_per_game_zscore (2.53) | wins_zscore (2.25)
2016,0.9925022274359263,1,1,1. Stephen Curry | 2. Kawhi Leonard | 3. LeBron James | 4. Russell Westbrook | 5. Kevin Durant | 6. Chris Paul | 7. Draymond Green | 8. Damian Lillard | 9. James Harden | 10. Kyle Lowry,1. Stephen Curry | 2. LeBron James | 3. Kevin Durant | 4. Russell Westbrook | 5. Kawhi Leonard | 6. Draymond Green | 7. Chris Paul | 8. James Harden | 9. Kyle Lowry | 10. DeMarcus Cousins,vorp_zscore (6.46) | per_zscore (5.40) | win_shares_zscore (5.15) | bpm_zscore (4.28) | pts_per_game_zscore (2.81) | fgm_per_game_zscore (2.67) | wins_zscore (2.41) | on_court_pm_per_100_zscore (2.24) | reb_per_game_zscore (2.24) | inv_conference_rank (2.24)
2017,0.9931051217552411,1,1,1. Russell Westbrook | 2. James Harden | 3. Kawhi Leonard | 4. LeBron James | 5. Isaiah Thomas | 6. Stephen Curry | 7. Giannis Antetokounmpo | 8. John Wall | 9. Kevin Durant | 10. Anthony Davis,1. Russell Westbrook | 2. James Harden | 3. LeBron James | 4. Kawhi Leonard | 5. Kevin Durant | 6. Isaiah Thomas | 7. Stephen Curry | 8. Anthony Davis | 9. DeMar DeRozan | 10. Chris Paul,vorp_zscore (7.41) | per_zscore (4.99) | win_shares_zscore (4.78) | bpm_zscore (3.93) | pts_per_game_zscore (2.57) | pts_gen_by_ast_per_game_zscore (2.54) | fgm_per_game_zscore (2.53) | inv_conference_rank (2.52) | obpm_zscore (2.43) | on_court_pm_per_100_zscore (2.36)
2018,0.9511504907454832,1,1,1. James Harden | 2. LeBron James | 3. Anthony Davis | 4. Damian Lillard | 5. Russell Westbrook | 6. Giannis Antetokounmpo | 7. Kevin Durant | 8. DeMar DeRozan | 9. LaMarcus Aldridge | 10. Jimmy Butler,1. James Harden | 2. Anthony Davis | 3. Russell Westbrook | 4. LeBron James | 5. Kevin Durant | 6. Damian Lillard | 7. Chris Paul | 8. Giannis Antetokounmpo | 9. Ben Simmons | 10. Nikola Jokić,vorp_zscore (7.48) | per_zscore (5.64) | win_shares_zscore (4.26) | bpm_zscore (4.08) | fgm_per_game_zscore (2.97) | on_court_pm_per_100_zscore (2.50) | pts_per_game_zscore (2.40) | wins_zscore (2.38) | nrtg_zscore (2.37) | fga_per_game_zscore (2.34)
2019,0.9785038912035006,1,1,1. Giannis Antetokounmpo | 2. James Harden | 3. Paul George | 4. Nikola Jokić | 5. Stephen Curry | 6. Damian Lillard | 7. Joel Embiid | 8. Kevin Durant | 9. Kawhi Leonard | 10. Russell Westbrook,1. Giannis Antetokounmpo | 2. James Harden | 3. Kevin Durant | 4. Nikola Jokić | 5. Damian Lillard | 6. Paul George | 7. Stephen Curry | 8. Kawhi Leonard | 9. Joel Embiid | 10. Rudy Gobert,vorp_zscore (7.52) | per_zscore (5.51) | win_shares_zscore (4.93) | bpm_zscore (4.69) | win_shares_per_48_zscore (2.76) | on_court_pm_per_100_zscore (2.55) | pts_per_game_zscore (2.54) | fgm_per_game_zscore (2.49) | fga_per_game_zscore (2.37) | wins_zscore (2.25)
2020,0.9670438315925435,1,1,1. Giannis Antetokounmpo | 2. LeBron James | 3. James Harden | 4. Luka Dončić | 5. Kawhi Leonard | 6. Anthony Davis | 7. Chris Paul | 8. Damian Lillard | 9. Nikola Jokić | 10. Pascal Siakam,1. Giannis Antetokounmpo | 2. James Harden | 3. LeBron James | 4. Anthony Davis | 5. Luka Dončić | 6. Kawhi Leonard | 7. Nikola Jokić | 8. Damian Lillard | 9. Bradley Beal | 10. Khris Middleton,vorp_zscore (6.66) | bpm_zscore (5.41) | win_shares_zscore (5.00) | per_zscore (4.64) | fgm_per_game_zscore (2.68) | pts_per_game_zscore (2.60) | fg2m_per_game_zscore (2.47) | pts_gen_by_ast_per_game_zscore (2.41) | tov_per_game_zscore (2.40) | inv_conference_rank (2.38)
2021,0.9810709986656123,1,1,1. Nikola Jokić | 2. Joel Embiid | 3. Stephen Curry | 4. Giannis Antetokounmpo | 5. Chris Paul | 6. Luka Dončić | 7. Damian Lillard | 8. Julius Randle | 9. Rudy Gobert | 10. Russell Westbrook,1. Nikola Jokić | 2. Giannis Antetokounmpo | 3. Joel Embiid | 4. Stephen Curry | 5. Damian Lillard | 6. Rudy Gobert | 7. Kawhi Leonard | 8. Luka Dončić | 9. Jimmy Butler | 10. Bradley Beal,vorp_zscore (7.14) | per_zscore (6.00) | win_shares_zscore (4.46) | bpm_zscore (4.42) | nrtg_zscore (2.80) | pts_per_game_zscore (2.79) | fgm_per_game_zscore (2.63) | inv_conference_rank (2.13) | wins_zscore (2.11) | on_court_pm_per_100_zscore (2.03)
2022,0.99164297938557,1,1,1. Nikola Jokić | 2. Joel Embiid | 3. Giannis Antetokounmpo | 4. Devin Booker | 5. Luka Dončić | 6. Jayson Tatum | 7. Stephen Curry | 8. Chris Paul | 9. DeMar DeRozan | 10. James Harden,1. Nikola Jokić | 2. Joel Embiid | 3. Giannis Antetokounmpo | 4. Jayson Tatum | 5. Chris Paul | 6. Luka Dončić | 7. Trae Young | 8. Karl-Anthony Towns | 9. Devin Booker | 10. Stephen Curry,vorp_zscore (6.72) | per_zscore (5.63) | bpm_zscore (5.31) | win_shares_zscore (5.13) | pts_per_game_zscore (2.68) | win_shares_per_48_zscore (2.43) | fga_per_game_zscore (2.23) | wins_zscore (2.22) | on_court_pm_per_100_zscore (2.15) | tov_per_game_zscore (2.15)
2023,0.8162609604314748,0,2,1. Joel Embiid | 2. Nikola Jokić | 3. Giannis Antetokounmpo | 4. Jayson Tatum | 5. Shai Gilgeous-Alexander | 6. Donovan Mitchell | 7. Domantas Sabonis | 8. Luka Dončić | 9. Jimmy Butler | 10. De'Aaron Fox,1. Nikola Jokić | 2. Joel Embiid | 3. Giannis Antetokounmpo | 4. Jayson Tatum | 5. Luka Dončić | 6. Jimmy Butler | 7. Shai Gilgeous-Alexander | 8. Domantas Sabonis | 9. Donovan Mitchell | 10. Ja Morant,vorp_zscore (6.85) | per_zscore (5.09) | win_shares_zscore (5.04) | bpm_zscore (4.11) | obpm_zscore (3.63) | nrtg_zscore (2.81) | fgm_per_game_zscore (2.48) | pts_per_game_zscore (2.43) | fga_per_game_zscore (2.42) | pts_gen_by_ast_per_game_zscore (2.39)
2024,0.997546549150347,1,1,1. Nikola Jokić | 2. Shai Gilgeous-Alexander | 3. Luka Dončić | 4. Giannis Antetokounmpo | 5. Jalen Brunson | 6. Jayson Tatum | 7. Anthony Edwards | 8. Domantas Sabonis | 9. Kevin Durant | 10. DeMar DeRozan,1. Nikola Jokić | 2. Shai Gilgeous-Alexander | 3. Luka Dončić | 4. Giannis Antetokounmpo | 5. Jayson Tatum | 6. Jalen Brunson | 7. Domantas Sabonis | 8. Anthony Davis | 9. Tyrese Haliburton | 10. LeBron James,vorp_zscore (6.97) | per_zscore (5.99) | win_shares_zscore (4.64) | bpm_zscore (4.63) | pts_per_game_zscore (2.79) | obpm_zscore (2.53) | fgm_per_game_zscore (2.50) | wins_zscore (2.30) | pts_gen_by_ast_per_game_zscore (2.25) | inv_conference_rank (2.15)
2025,1.0000000000000002,1,1,1. Shai Gilgeous-Alexander | 2. Nikola Jokić | 3. Giannis Antetokounmpo | 4. Jayson Tatum | 5. Donovan Mitchell | 6. LeBron James | 7. Anthony Edwards | 8. Cade Cunningham | 9. Stephen Curry | 10. Jalen Brunson,1. Shai Gilgeous-Alexander | 2. Nikola Jokić | 3. Giannis Antetokounmpo | 4. Jayson Tatum | 5. Donovan Mitchell | 6. Tyrese Haliburton | 7. Jarrett Allen | 8. Evan Mobley | 9. Darius Garland | 10. LeBron James,vorp_zscore (7.57) | per_zscore (5.22) | win_shares_zscore (4.82) | bpm_zscore (3.95) | pts_per_game_zscore (2.69) | inv_conference_rank (2.39) | obpm_zscore (2.39) | nrtg_zscore (2.37) | win_shares_per_48_zscore (2.32) | pts_gen_by_ast_per_game_zscore (2.31)
